Date,Open,High,Low,Close,Adj Close,Volume
03-11-2014,27.698954,27.818624,27.585764,27.684992,27.684992,27645693
04-11-2014,27.574295,27.698954,27.389801,27.629642,27.629642,24884132
05-11-2014,27.763775,27.763775,27.128019,27.221264,27.221264,40645286
06-11-2014,27.200321,27.269382,26.974442,27.027796,27.027796,26665008
07-11-2014,27.235723,27.235723,26.859756,26.976437,26.976437,32675465
10-11-2014,26.998875,27.404263,26.976934,27.299549,27.299549,22692131
11-11-2014,27.349413,27.521441,27.240211,27.439165,27.439165,19310873
12-11-2014,27.444153,27.447641,27.183867,27.290573,27.290573,22593862
13-11-2014,27.414734,27.414734,27.099598,27.194338,27.194338,26787343
14-11-2014,27.259159,27.259159,27.033279,27.145472,27.145472,25790614
17-11-2014,27.104584,27.115055,26.629938,26.752052,26.752052,34520517
18-11-2014,26.801416,27.022808,26.635372,26.678255,26.678255,39253475
19-11-2014,26.67676,26.838314,26.431433,26.775988,26.775988,27844237
20-11-2014,26.489773,26.682243,26.481297,26.668282,26.668282,31267610
21-11-2014,27.006353,27.032782,26.754545,26.801416,26.801416,44485801
24-11-2014,26.808895,27.060705,26.707674,26.889673,26.889673,34127440
25-11-2014,26.876211,27.124531,26.856365,26.979927,26.979927,35798014
26-11-2014,26.969954,27.003363,26.77858,26.944525,26.944525,30459397
28-11-2014,26.956989,27.025801,26.75654,27.017324,27.017324,22966883
01-12-2014,26.871225,26.996382,26.520189,26.616922,26.616922,42307838
02-12-2014,26.602463,26.701691,26.417471,26.614429,26.614429,30533600
03-12-2014,26.499247,26.726423,26.390545,26.493263,26.493263,25559983
04-12-2014,26.485285,26.79344,26.357136,26.791943,26.791943,27842232
05-12-2014,26.477306,26.571548,26.142227,26.191092,26.191092,51312493
08-12-2014,26.284336,26.477306,26.117794,26.276857,26.276857,46587556
09-12-2014,26.035519,26.63637,25.953745,26.595482,26.595482,37426473
10-12-2014,26.581022,26.743076,26.206051,26.230984,26.230984,34245764
11-12-2014,26.317745,26.622908,26.282841,26.344671,26.344671,32216207
12-12-2014,26.103832,26.35265,25.861996,25.861996,25.861996,39891221
15-12-2014,26.065437,26.083387,25.593233,25.619661,25.619661,56268061
16-12-2014,25.507969,25.582264,24.383057,24.701681,24.701681,79285081
17-12-2014,24.781961,25.280592,24.772488,25.175381,25.175381,57663883
18-12-2014,25.577278,25.623152,25.165907,25.485031,25.485031,58534266
19-12-2014,25.505474,25.815125,25.276154,25.746813,25.746813,73804074
22-12-2014,25.733349,26.250929,25.733349,26.171646,26.171646,54475152
